Ticker,Industry
NVX,Electrical Equipment & Parts
MDGL,Biotechnology
FLJ,Real Estate Services
MNY,Internet Content & Information
FWONK,Entertainment
SJT,Oil & Gas E&P
WPM,Gold
TGH,Unknown
HSBC,Banks - Diversified
STTK,Biotechnology
CMMB,Biotechnology
ADPT,Biotechnology
SCPH,Biotechnology
FCFS,Credit Services
MATX,Marine Shipping
MTRX,Engineering & Construction
EEX,Advertising Agencies
IMXI,Software - Infrastructure
MNDO,Software - Application
XHR,REIT - Hotel & Motel
LRHC,Real Estate Services
FFNW,Banks - Regional
MDLZ,Confectioners
VRNT,Software - Infrastructure
DATS,Software - Application
AVAV,Aerospace & Defense
BCLI,Biotechnology
ENIC,Utilities - Regulated Electric
TCON,Biotechnology
LADR,REIT - Mortgage
TGS,Oil & Gas Integrated
NFE,Utilities - Regulated Gas
SGH,Semiconductors
KARO,Software - Application
NWTN,Auto Manufacturers
XPON,Electrical Equipment & Parts
FONR,Diagnostics & Research
TRP,Oil & Gas Midstream
CMCO,Farm & Heavy Construction Machinery
UUUU,Uranium
SYRS,Biotechnology
TIRX,Insurance Brokers
WRBY,Medical Instruments & Supplies
DCPH,Drug Manufacturers - Specialty & Generic
CLBR,Unknown
NVVE,Specialty Retail
BNIX,Shell Companies
DD,Specialty Chemicals
BON,Packaged Foods
APLT,Biotechnology
TEO,Telecom Services
SSTI,Software - Application
EMKR,Semiconductors
ATXG,Integrated Freight & Logistics
AMCX,Entertainment
ALCY,Shell Companies
TER,Semiconductor Equipment & Materials
INVE,Computer Hardware
MSGM,Electronic Gaming & Multimedia
IHG,Lodging
SRDX,Medical Devices
MNTN,Shell Companies
AUPH,Biotechnology
NRAC,Unknown
LARK,Banks - Regional
DGLY,Internet Content & Information
GNLN,Tobacco
COCH,Medical Devices
DAY,Software - Application
CFFI,Banks - Regional
QRTEA,Internet Retail
DRRX,Drug Manufacturers - Specialty & Generic
JOE,Real Estate - Diversified
TCS,Specialty Retail
ABUS,Biotechnology
AKA,Apparel Retail
RBBN,Telecom Services
MYSZ,Software - Application
HBAN,Banks - Regional
BCYC,Biotechnology
CEVA,Semiconductors
CUE,Biotechnology
RRBI,Banks - Regional
CPLP,Marine Shipping
NBTB,Banks - Regional
LVTX,Biotechnology
CHTR,Telecom Services
RYAM,Chemicals
MDJH,Real Estate Services
HUT,Capital Markets
YY,Internet Content & Information
FLGC,Drug Manufacturers - Specialty & Generic
BRFH,Beverages - Non-Alcoholic
TXG,Health Information Services
PPTA,Other Precious Metals & Mining
XYL,Specialty Industrial Machinery
AXS,Insurance - Specialty
FRZA,Recreational Vehicles
MORN,Financial Data & Stock Exchanges
TNYA,Biotechnology
DBGI,Apparel Retail
AIMAU,Shell Companies
DVAX,Drug Manufacturers - Specialty & Generic
STLD,Steel
AES,Utilities - Diversified
GDC,Electronic Gaming & Multimedia
ANGI,Internet Content & Information
LYB,Specialty Chemicals
RVLV,Internet Retail
TKO,Entertainment
LCA,Unknown
STNE,Software - Infrastructure
PALT,Software - Application
ACOR,Unknown
MMSI,Medical Instruments & Supplies
AWRE,Software - Application
STKH,Packaged Foods
MARA,Capital Markets
ATKR,Electrical Equipment & Parts
INTC,Semiconductors
CVLG,Trucking
BLK,Asset Management
GMFI,Shell Companies
DCO,Aerospace & Defense
TCTM,Education & Training Services
ZWS,Pollution & Treatment Controls
ACB,Drug Manufacturers - Specialty & Generic
EVO,Drug Manufacturers - Specialty & Generic
HOWL,Biotechnology
OMCL,Health Information Services
HAO,Advertising Agencies
REYN,Packaging & Containers
CHRS,Biotechnology
LANV,Luxury Goods
PWSC,Software - Application
QUBT,Computer Hardware
ACON,Health Information Services
GPMT,REIT - Mortgage
SVFD,Unknown
AHH,REIT - Diversified
WLYB,Publishing
LVLU,Apparel Retail
HOVR,Aerospace & Defense
CATY,Banks - Regional
LEG,"Furnishings, Fixtures & Appliances"
KN,Communication Equipment
REG,REIT - Retail
MPLX,Oil & Gas Midstream
LODE,Other Precious Metals & Mining
ITIC,Insurance - Specialty
CMPX,Biotechnology
CET,Asset Management
MTC,Software - Application
BLNK,Engineering & Construction
MCHP,Semiconductors
LDI,Mortgage Finance
VEEV,Health Information Services
HNVR,Banks - Regional
TYGO,Solar
HUYA,Entertainment
PBR.A,Unknown
UTI,Education & Training Services
ROAD,Engineering & Construction
XRX,Information Technology Services
SRE,Utilities - Diversified
SPI,Solar
PRM,Specialty Chemicals
STAG,REIT - Industrial
VBNK,Banks - Regional
IQ,Entertainment
EDBL,Farm Products
XELB,Apparel Manufacturing
TNON,Medical Devices
YUM,Restaurants
CCOI,Telecom Services
SPRC,Biotechnology
BPRN,Banks - Regional
MAT,Leisure
VOD,Telecom Services
USGO,Other Industrial Metals & Mining
CLDI,Biotechnology
RTC,Software - Application
CVCY,Unknown
RCEL,Medical Devices
RYTM,Biotechnology
USB,Banks - Regional
SSIC,Asset Management
LZ,Specialty Business Services
JLL,Real Estate Services
AFYA,Education & Training Services
SLDP,Auto Parts
CRMD,Biotechnology
SONY,Consumer Electronics
VIEW,Building Products & Equipment
FUL,Specialty Chemicals
SM,Oil & Gas E&P
HAFC,Banks - Regional
KBR,Engineering & Construction
AMBI,Waste Management
ZFOX,Software - Infrastructure
MVBF,Banks - Regional
NEP,Utilities - Renewable
EPOW,Electrical Equipment & Parts
OLB,Software - Infrastructure
VET,Oil & Gas E&P
AGI,Gold
FDX,Integrated Freight & Logistics
AGYS,Software - Application
NEXA,Other Industrial Metals & Mining
SHLT,Health Information Services
NURO,Medical Devices
KRNL,Shell Companies
CDE,Gold
OFIX,Medical Devices
OGN,Drug Manufacturers - General
SLNA,Resorts & Casinos
BDN,REIT - Office
AAU,Unknown
CARR,Building Products & Equipment
SMLP,Oil & Gas Midstream
ALBT,Real Estate Services
TSCO,Specialty Retail
ELLO,Utilities - Renewable
AWH,Diagnostics & Research
TOVX,Biotechnology
ARQQ,Software - Infrastructure
ADNT,Auto Parts
CMND,Biotechnology
IVVD,Biotechnology
LXFR,Specialty Industrial Machinery
NFLX,Entertainment
MVST,Electrical Equipment & Parts
AEAE,Shell Companies
EAC,Unknown
QUAD,Specialty Business Services
SNGX,Biotechnology
MEI,Electronic Components
MBWM,Banks - Regional
OTIS,Specialty Industrial Machinery
LPCN,Biotechnology
JAMF,Software - Application
GTEC,Specialty Industrial Machinery
FENC,Biotechnology
GETY,Internet Content & Information
TAOP,Software - Infrastructure
OMGA,Biotechnology
FOUR,Software - Infrastructure
PFE,Drug Manufacturers - General
WLDN,Engineering & Construction
JFBR,Internet Retail
HL,Other Precious Metals & Mining
CARM,Biotechnology
PLUS,Software - Application
GHI,Mortgage Finance
DPCS,Shell Companies
DXR,Medical Instruments & Supplies
VHAQ,Shell Companies
PYPD,Biotechnology
CIVI,Oil & Gas E&P
IKNA,Biotechnology
AVTR,Specialty Chemicals
LBC,Unknown
SEER,Biotechnology
GILT,Communication Equipment
TAC,Utilities - Independent Power Producers
DAN,Auto Parts
TITN,Industrial Distribution
ALAR,Software - Infrastructure
MTAL,Copper
LYFT,Software - Application
OCN,Mortgage Finance
HMNF,Banks - Regional
DORM,Auto Parts
PDLB,Banks - Regional
CION,Asset Management
WERN,Trucking
MCBC,Banks - Regional
CGA,Agricultural Inputs
UHG,Residential Construction
VRRM,Infrastructure Operations
IRTC,Medical Devices
ACIU,Biotechnology
CIB,Banks - Regional
HDSN,Specialty Chemicals
PBA,Oil & Gas Midstream
INM,Biotechnology
TYL,Software - Application
PASG,Biotechnology
IRON,Biotechnology
TRUG,Electronic Gaming & Multimedia
SPT,Software - Application
CLS,Electronic Components
BP,Oil & Gas Integrated
QGEN,Diagnostics & Research
JTAI,Software - Application
KC,Software - Application
ORGO,Drug Manufacturers - Specialty & Generic
QSR,Restaurants
HURN,Consulting Services
PTC,Software - Application
WS,Steel
SGMA,Electronic Components
NWBI,Banks - Regional
TTC,Tools & Accessories
BAOS,Advertising Agencies
MCRI,Resorts & Casinos
SASI,Unknown
RBB,Banks - Regional
MCY,Insurance - Property & Casualty
RPD,Software - Infrastructure
JHX,Building Materials
ETRN,Oil & Gas Midstream
EBMT,Banks - Regional
MODN,Software - Application
VRSN,Software - Infrastructure
LEDS,Semiconductors
ALHC,Healthcare Plans
FUN,Leisure
MEIP,Biotechnology
DYAI,Biotechnology
AFJK,Shell Companies
CDNA,Diagnostics & Research
MRAM,Semiconductors
API,Software - Application
SPRO,Biotechnology
CSLM,Shell Companies
LYRA,Biotechnology
DXF,Credit Services
KGS,Oil & Gas Equipment & Services
MATW,Conglomerates
TARO,Drug Manufacturers - Specialty & Generic
SQFT,REIT - Diversified
GGB,Steel
HPP,REIT - Office
GENI,Internet Content & Information
CASS,Specialty Business Services
SNV,Banks - Regional
SHOP,Software - Application
SRBK,Banks - Regional
SILV,Other Precious Metals & Mining
PUYI,Unknown
TEVA,Drug Manufacturers - Specialty & Generic
NHTC,Internet Retail
RANI,Biotechnology
USEA,Marine Shipping
APPS,Software - Application
EVRI,Gambling
CLPT,Medical Devices
INZY,Biotechnology
DUK,Utilities - Regulated Electric
ALLK,Biotechnology
AXGN,Medical Devices
ENGN,Biotechnology
BLCO,Medical Instruments & Supplies
IRDM,Telecom Services
HGTY,Insurance - Property & Casualty
PANL,Marine Shipping
BXC,Industrial Distribution
PAVM,Medical Devices
OVLY,Banks - Regional
ALOT,Computer Hardware
SOAR,Airports & Air Services
COMP,Real Estate Services
FTI,Oil & Gas Equipment & Services
ZDGE,Internet Content & Information
CHCI,Real Estate - Diversified
AB,Asset Management
MSGS,Entertainment
MOND,Travel Services
PXD,Unknown
SJ,Broadcasting
DY,Engineering & Construction
RLX,Tobacco
COSM,Medical Distribution
FORR,Consulting Services
SRL,Capital Markets
KEN,Utilities - Independent Power Producers
IOBT,Biotechnology
PLL,Other Industrial Metals & Mining
IBM,Information Technology Services
SXI,Specialty Industrial Machinery
HYAC,Shell Companies
MCD,Restaurants
MRNS,Biotechnology
BALL,Packaging & Containers
AEE,Utilities - Regulated Electric
ABNB,Travel Services
ENVA,Credit Services
CDZI,Utilities - Regulated Water
GROY,Gold
ACIC,Insurance - Property & Casualty
MASI,Medical Devices
BYSI,Biotechnology
CNHI,Farm & Heavy Construction Machinery
STWD,REIT - Mortgage
HCAT,Health Information Services
EIG,Insurance - Specialty
KPTI,Biotechnology
IX,Financial Conglomerates
XTKG,Software - Application
RDVT,Software - Application
CYTH,Drug Manufacturers - Specialty & Generic
CNMD,Medical Devices
HCC,Coking Coal
PHGE,Biotechnology
XRAY,Medical Instruments & Supplies
ORA,Utilities - Renewable
GRRR,Software - Infrastructure
PBH,Drug Manufacturers - Specialty & Generic
BOLT,Biotechnology
PEG,Utilities - Regulated Electric
ELYM,Biotechnology
USAC,Oil & Gas Equipment & Services
NOC,Aerospace & Defense
LEJU,Unknown
HUSA,Oil & Gas E&P
YELP,Internet Content & Information
UPLD,Software - Application
EURN,Oil & Gas Midstream
DNLI,Biotechnology
VNT,Scientific & Technical Instruments
PGNY,Health Information Services
KRRO,Biotechnology
CRGO,Integrated Freight & Logistics
LOAN,REIT - Mortgage
GSM,Other Industrial Metals & Mining
AIRI,Aerospace & Defense
LUCD,Medical Devices
BLMN,Restaurants
ONCT,Biotechnology
WGS,Health Information Services
NCLH,Travel Services
UBX,Biotechnology
TDW,Oil & Gas Equipment & Services
PWOD,Banks - Regional
FNKO,Leisure
AMLX,Biotechnology
TROX,Chemicals
FNGR,Telecom Services
ALEC,Biotechnology
UNCY,Biotechnology
NWS,Entertainment
FLIC,Banks - Regional
PMGM,Shell Companies
HIFS,Banks - Regional
MTZ,Engineering & Construction
EEFT,Software - Infrastructure
NDSN,Specialty Industrial Machinery
SYM,Specialty Industrial Machinery
MYGN,Diagnostics & Research
VST,Utilities - Independent Power Producers
SGE,Computer Hardware
WWW,Footwear & Accessories
ETD,"Furnishings, Fixtures & Appliances"
MNTX,Farm & Heavy Construction Machinery
TOPS,Oil & Gas Midstream
COIN,Financial Data & Stock Exchanges
XP,Capital Markets
HCSG,Medical Care Facilities
RKDA,Packaged Foods
JWSM,Shell Companies
CGEN,Biotechnology
NOVA,Solar
BEEM,Solar
NAOV,Medical Devices
AKO.A,Unknown
TFPM,Other Precious Metals & Mining
CLOE,Shell Companies
PDSB,Biotechnology
BJRI,Restaurants
REKR,Software - Infrastructure
FSBW,Banks - Regional
LEGN,Biotechnology
ME,Diagnostics & Research
PRZO,Aerospace & Defense
OPBK,Banks - Regional
QH,Software - Application
VS,Software - Application
ZTS,Drug Manufacturers - Specialty & Generic
PRK,Banks - Regional
LBRDA,Telecom Services
SY,Health Information Services
ICHR,Semiconductor Equipment & Materials
BRY,Oil & Gas E&P
MFC,Insurance - Life
CRSR,Computer Hardware
CSTR,Unknown
AKBA,Biotechnology
HBNC,Banks - Regional
VNET,Information Technology Services
JPM,Banks - Diversified
MPWR,Semiconductors
NEU,Specialty Chemicals
LEA,Auto Parts
ELV,Healthcare Plans
CLW,Paper & Paper Products
ALTM,Specialty Chemicals
SPNS,Software - Application
ATHA,Biotechnology
SCM,Asset Management
DV,Software - Application
NEXT,Oil & Gas E&P
MBUU,Recreational Vehicles
EXLS,Information Technology Services
CWEN.A,Unknown
AFBI,Banks - Regional
CTHR,Luxury Goods
LVRO,Agricultural Inputs
ADTH,Advertising Agencies
LVWR,Auto Manufacturers
MBCN,Banks - Regional
GEO,Security & Protection Services
MXC,Oil & Gas E&P
HYW,Asset Management
BELFB,Electronic Components
TIGR,Capital Markets
SHIP,Marine Shipping
AGIO,Biotechnology
PWFL,Software - Infrastructure
PHIO,Biotechnology
BNL,REIT - Diversified
AUMN,Other Precious Metals & Mining
RR,Specialty Industrial Machinery
NLOP,REIT - Office
SITC,REIT - Retail
SMAR,Software - Application
FGEN,Biotechnology
DENN,Restaurants
FCBC,Banks - Regional
AAGR,Farm Products
IDA,Utilities—Regulated Electric
INN,REIT—Hotel & Motel
TMP,Banks—Regional
LCTX,Biotechnology
CFSB,Banks—Regional
AMS,Medical Care Facilities
GH,Diagnostics & Research
DNB,Financial Data & Stock Exchanges
AGRX,Drug Manufacturers—Specialty & Generic
SPXC,Building Products & Equipment
LHX,Aerospace & Defense
TPB,Tobacco
RARE,Biotechnology
ASA,Asset Management
HHH,Real Estate—Diversified
INTZ,Software—Infrastructure
SSL,Specialty Chemicals
JWEL,Internet Retail
AG,Silver
WVE,Biotechnology
QLGN,Biotechnology
NEON,Electronic Components
AEO,Apparel Retail
NUE,Steel
WOR,Metal Fabrication
TG,Metal Fabrication
CRGE,Unknown
SBRA,REIT—Healthcare Facilities
OPCH,Medical Care Facilities
EXPI,Real Estate Services
ARGX,Biotechnology
SMBC,Banks—Regional
EGIO,Software—Infrastructure
CSTM,Aluminum
SNA,Tools & Accessories
ALCE,Utilities—Renewable
JOUT,Leisure
EVLV,Security & Protection Services
NBN,Banks—Regional
TS,Oil & Gas Equipment & Services
FSEA,Banks—Regional
HP,Oil & Gas Drilling
CXM,Software—Application
BH,Restaurants
AWX,Waste Management
PLRX,Biotechnology
OI,Packaging & Containers
CAUD,Software—Application
WYY,Information Technology Services
KW,Real Estate Services
AGM,Credit Services
CRBG,Asset Management
NTRS,Asset Management
RUSHA,Auto & Truck Dealerships
CCI,REIT—Specialty
AME,Specialty Industrial Machinery
GODN,Shell Companies
USPH,Medical Care Facilities
MAC,REIT—Retail
KSPI,Software—Infrastructure
IIIV,Software—Infrastructure
ICUI,Medical Instruments & Supplies
KNSA,Biotechnology
SEDG,Solar
BZ,Internet Content & Information
BMRN,Biotechnology
TECK,Other Industrial Metals & Mining
AQU,Shell Companies
SUZ,Paper & Paper Products
NOTV,Diagnostics & Research
TRU,Consulting Services
WAL,Banks—Regional
CCO,Advertising Agencies
CORZ,Software—Infrastructure
JEWL,Luxury Goods
ISRL,Shell Companies
FFIN,Banks—Regional
DTC,Internet Retail
SVRE,Scientific & Technical Instruments
PEGR,Shell Companies
TGTX,Biotechnology
WU,Credit Services
CRUS,Semiconductors
OMI,Medical Distribution
NKGN,Biotechnology
ASND,Biotechnology
DTST,Information Technology Services
HVT,Home Improvement Retail
NRDS,Internet Content & Information
LILA,Telecom Services
CTNT,Auto & Truck Dealerships
CWST,Waste Management
WHF,Asset Management
OPK,Diagnostics & Research
ARBE,Software—Infrastructure
SQNS,Semiconductors
MUR,Oil & Gas E&P
ENSC,Biotechnology
WEL,Shell Companies
III,Information Technology Services
FNA,Medical Devices
JFIN,Internet Content & Information
BBY,Specialty Retail
HIHO,Metal Fabrication
SUGP,Security & Protection Services
TCN,Unknown
DOOO,Recreational Vehicles
BBGI,Broadcasting
FIBK,Banks—Regional
DECK,Footwear & Accessories
TWOU,Education & Training Services
BIRD,Apparel Retail
STN,Engineering & Construction
MSB,Steel
MRUS,Biotechnology
LSTA,Biotechnology
NVO,Biotechnology
RPID,Medical Devices
ESAC,Unknown
IRMD,Medical Devices
FHI,Asset Management
SKT,REIT—Retail
ACCO,Business Equipment & Supplies
PROF,Medical Devices
RBOT,Medical Devices
CQP,Oil & Gas Midstream
DDOG,Software—Application
QTWO,Software—Application
ALV,Auto Parts
PH,Specialty Industrial Machinery
GSL,Rental & Leasing Services
HYFM,Farm & Heavy Construction Machinery
SMBK,Banks—Regional
FMBH,Banks—Regional
SQ,Software—Infrastructure
JNPR,Communication Equipment
SYNA,Semiconductors
GSHD,Insurance—Diversified
NTWK,Software—Application
FA,Specialty Business Services
IMNN,Biotechnology
PIK,Internet Retail
LILAK,Telecom Services
XXII,Tobacco
ACA,Engineering & Construction
IINN,Medical Devices
TZOO,Advertising Agencies
DEA,REIT—Office
MIRM,Biotechnology
T,Telecom Services
JILL,Apparel Retail
EQC,REIT—Office
RGF,Packaged Foods
TFIN,Banks—Regional
GPAC,Shell Companies
CCCS,Software—Infrastructure
CATX,Medical Devices
GO,Grocery Stores
IGT,Gambling
MDV,REIT—Diversified
ASPI,Chemicals
DAO,Education & Training Services
CHCT,REIT—Healthcare Facilities
CLRO,Communication Equipment
ACBA,Shell Companies
NICK,Credit Services
IEX,Specialty Industrial Machinery
SP,Specialty Business Services
HBT,Banks—Regional
AIXI,Software—Application
CMPS,Medical Care Facilities
DOC,REIT—Healthcare Facilities
BRFS,Packaged Foods
APTO,Biotechnology
HAIN,Packaged Foods
VMAR,Recreational Vehicles
NWSA,Entertainment
HBB,"Furnishings, Fixtures & Appliances"
THO,Recreational Vehicles
COEP,Biotechnology
LUV,Airlines
MOG.B,Unknown
HHLA,Unknown
CSBR,Biotechnology
UGP,Oil & Gas Refining & Marketing
NEE,Utilities—Regulated Electric
LPG,Oil & Gas Midstream
AGEN,Biotechnology
UONE,Broadcasting
GLMD,Biotechnology
ROK,Specialty Industrial Machinery
HMC,Auto Manufacturers
BCOV,Software—Application
ALPN,Biotechnology
MMS,Specialty Business Services
GOEV,Auto Manufacturers
ANIP,Drug Manufacturers—Specialty & Generic
SLS,Biotechnology
FUV,Recreational Vehicles
VCXB,Shell Companies
CPRT,Specialty Business Services
SLGN,Packaging & Containers
PTMN,Asset Management
